SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,log10(mmol_solvent/g_Polymer)
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,0.749743953
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,0.919045857
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,1.024732518
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,1.176021673
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,1.267368504
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,1.376112584
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,1.535381823
81.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545,1.614790933
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,0.749743953
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,0.919045857
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,1.024732518
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,1.176021673
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,1.267368504
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,1.376112584
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,1.535381823
82.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545,1.614790933
